category,year,market_share,us_3p_revenue_bn,us_3p_gmv_bn,take_rate,shipping_costs_bn,fulfillment_costs_bn,total_logistics_bn,referral_fee,ad_tax,total_take_rate,ad_revenue_bn,logistics_intensity_gmv
Apparel footwear & accessories,2016,0.0442,14.6,64.51,0.2263215005425515,16.2,17.6,33.8,0.17,0.0310526315789473,0.2010526315789473,2.95,52.394977522864664
Auto & parts,2016,0.003,14.6,64.51,0.2263215005425515,16.2,17.6,33.8,0.12,0.0310526315789473,0.1510526315789473,2.95,52.394977522864664
Books music & video,2016,0.273,14.6,64.51,0.2263215005425515,16.2,17.6,33.8,0.15,0.0310526315789473,0.1810526315789473,2.95,52.394977522864664
Computer & Consumer Electronics,2016,0.1269,14.6,64.51,0.2263215005425515,16.2,17.6,33.8,0.08,0.0310526315789473,0.1110526315789473,2.95,52.394977522864664
Food & beverage,2016,0.0033,14.6,64.51,0.2263215005425515,16.2,17.6,33.8,0.15,0.0310526315789473,0.1810526315789473,2.95,52.394977522864664
Furniture & home furnishings,2016,0.0433,14.6,64.51,0.2263215005425515,16.2,17.6,33.8,0.15,0.0310526315789473,0.1810526315789473,2.95,52.394977522864664
Household & Personable Consumables,2016,0.0138,14.6,64.51,0.2263215005425515,16.2,17.6,33.8,0.15,0.0310526315789473,0.1810526315789473,2.95,52.394977522864664
Home improvement & garden,2016,0.0203,14.6,64.51,0.2263215005425515,16.2,17.6,33.8,0.15,0.0310526315789473,0.1810526315789473,2.95,52.394977522864664
Office equipment & supplies,2016,0.0918,14.6,64.51,0.2263215005425515,16.2,17.6,33.8,0.15,0.0310526315789473,0.1810526315789473,2.95,52.394977522864664
Toy & hobby,2016,0.0792,14.6,64.51,0.2263215005425515,16.2,17.6,33.8,0.15,0.0310526315789473,0.1810526315789473,2.95,52.394977522864664
Apparel footwear & accessories,2017,0.0579,21.39,82.11,0.2605042016806722,21.7,25.2,46.9,0.17,0.03875,0.20875,4.65,57.11849957374254
Auto & parts,2017,0.0036,21.39,82.11,0.2605042016806722,21.7,25.2,46.9,0.12,0.03875,0.15875,4.65,57.11849957374254
Books music & video,2017,0.3029,21.39,82.11,0.2605042016806722,21.7,25.2,46.9,0.15,0.03875,0.18875,4.65,57.11849957374254
Computer & Consumer Electronics,2017,0.1437,21.39,82.11,0.2605042016806722,21.7,25.2,46.9,0.08,0.03875,0.11875,4.65,57.11849957374254
Food & beverage,2017,0.0043,21.39,82.11,0.2605042016806722,21.7,25.2,46.9,0.15,0.03875,0.18875,4.65,57.11849957374254
Furniture & home furnishings,2017,0.0518,21.39,82.11,0.2605042016806722,21.7,25.2,46.9,0.15,0.03875,0.18875,4.65,57.11849957374254
Household & Personable Consumables,2017,0.0171,21.39,82.11,0.2605042016806722,21.7,25.2,46.9,0.15,0.03875,0.18875,4.65,57.11849957374254
